Angle,IntersectionArea_Pixels²
8.01,565.3018209218446
8.02,565.3781047565182
8.03,565.4550697625875
8.04,565.5327300402581
8.05,565.6110780900145
8.06,565.6901102329061
8.07,565.7698165039197
8.08,565.8501221997083
8.09,565.931012403439
8.1,566.0124891913662
8.11,566.0945597513941
8.12,566.1772249215513
8.13,566.260484873629
8.14,566.344334482804
8.15,566.4287651258983
8.16,566.5137768125359
8.17,566.5993696792374
8.18,566.6855631178857
8.19,566.7723584781285
8.2,566.8596945254426
8.21,566.9475734414048
8.22,567.0359958827137
8.23,567.1249509347011
8.24,567.2144320914763
8.25,567.3044394224581
8.26,567.3949729907827
8.27,567.4860328534097
8.28,567.577619061064
8.29,567.669731658219
8.3,567.7623759373425
8.31,567.8555604621013
8.32,567.949237748406
8.33,568.043384035857
8.34,568.1380159097936
8.35,568.2331482411523
8.36,568.3287810305293
8.37,568.4249142722505
8.38,568.5215479543548
8.39,568.6186854046417
8.4,568.7163781984549
8.41,568.8146578953497
8.42,568.9135245107564
8.43,569.0129780539356
8.44,569.1130181244584
8.45,569.2136063215511
8.46,569.3147174029076
8.47,569.4163513510854
8.48,569.5185162142545
8.49,569.6212292042003
8.5,569.7245491688502
8.51,569.828505830617
8.52,569.933106144247
8.53,570.0383501119491
8.54,570.1442377297112
8.55,570.2507689873701
8.56,570.3579415821667
8.57,570.4657525775986
8.58,570.5741987721137
8.59,570.6832675853126
8.6,570.7929973847129
8.61,570.9033893256321
8.62,571.0144434162848
8.63,571.1261596586987
8.64,571.2385380488591
8.65,571.3515541988265
8.66,571.4651620559996
8.67,571.579360534494
8.68,571.6941563510011
8.69,571.8096172929161
8.7,571.9257673766537
8.71,572.0426066411236
8.72,572.1601351191739
8.73,572.2783358448135
8.74,572.3971795441404
8.75,572.5166172860402
8.76,572.63662135313
8.77,572.7571917709686
8.78,572.878345906823
8.79,573.000141110119
8.8,573.1225819727315
8.81,573.2456685576352
8.82,573.3694009217442
8.83,573.4937791158817
8.84,573.6187928683431
8.85,573.7443840976244
8.86,573.8705478342703
8.87,573.9972859033434
8.88,574.124637592517
8.89,574.2526071215076
8.9,574.3811921730052
8.91,574.5103928351933
8.92,574.6402091901901
8.93,574.770641313992
8.94,574.9016565473313
8.95,575.0332093390781
8.96,575.1652994695249
8.97,575.2979395024723
8.98,575.4311871458606
8.99,575.5650474282604
9.0,575.69952045222
9.01,575.8346063325719
9.02,575.9703051780865
9.03,576.1066124198163
9.04,576.243463640534
9.05,576.380819101845
9.06,576.5186771717873
9.07,576.6570801433708
9.08,576.7960662206802
9.09,576.9356355497097
9.1,577.0757845458077
9.11,577.2165102153268
9.12,577.3578126927117
9.13,577.499666135993
9.14,577.6420181119825
9.15,577.7848672487202
9.16,577.9282238881486
9.17,578.0721485887598
9.18,578.2166514652392
9.19,578.3617326979843
9.2,578.5073924334893
9.21,578.6536149681517
9.22,578.8003774328394
9.23,578.947622619794
9.24,579.0953308042237
9.25,579.2435021550837
9.26,579.3921762949174
9.27,579.5413947285056
9.28,579.6911576741344
9.29,579.8414653387025
9.3,579.9923168377788
9.31,580.1437005469184
9.32,580.2955862037065
9.33,580.4479212635715
